диагноз,клиническая картина,симптомы
отит,"У кошки наблюдается воспаление уха, сопровождающееся сильным зудом и покраснением слухового прохода. Животное часто наклоняет голову набок и трет ухо лапой. При осмотре ветеринар обнаруживает гнойные выделения из ушного канала. Кошка реагирует на прикосновение к больному уху, хлопает им и отдергивается. Кроме того, отмечается неприятный запах из уха животного.","Симптомы: воспаление уха, гнойные выделения из уха, зуд, покраснение слухового прохода, частое наклонение головы набок и трение уха лапой, боль при прикосновении к уху, неприятный запах из уха."
отит,"Пациент: собака, полтора года. Врач обнаружил у животного воспаление уха, отмеченное покраснение барабанной перепонки и гнойные выделения из ушного канала. Лабораторный анализ показал присутствие сероводорода в образце ушной слизи, что свидетельствует о наличии инфекции. Животное проявляет признаки боли при пальпации уха и теряет аппетит.","Симптомы: боль в ухе, гнойные выделения из уха, зуд и дискомфорт"
отит,"У кошки воспаление уха. Беспрестанно трет лапой за ухом и встряхивает головой. Из уха заметен гнойный выделениями, неприятный запах. При пальпации область вокруг уха болезненна. Поведение животного стало агрессивным из-за причиняемого боли дискомфорта.","Симптомы: боль в ухе, гнойные выделения из уха, зуд и дискомфорт"
отит,"У собаки отмечаются частые приступы слезотечения из одного или обоих глаз. Животное проявляет светобоязнь, прячет морду лапами, веки спадают и слипаются из-за обильной жидкости. При осмотре глаза видны гиперемия конъюнктивы и дымчатый оттенок роговицы. В тяжелых случаях наблюдается помутнение радужной оболочки или отслоение сетчатки. Состояние улучшается самостоятельно, но через время рецидивы повторяются. Собака постепенно теряет зрение.","Симптомы: слезотечение из глаз, светобоязнь, гиперемия конъюнктивы, помутнение радужной оболочки или отслоение сетчатки, рецидивирующее течение болезни, прогрессирующая потеря зрения."
отит,"У птицы из носа течет гной. Она трясет головой и чешет лапой за ухом. Уши красные, воспаленные, с плохим запахом. Аппетит снижен, может быть рвота. Птица отказывается от корма, но пьет много воды.","Симптомы: гнойные выделения из носа, головная боль и тряска головой, зуд за ухом с красными воспаленными ушами, плохой запах из ушей, снижение аппетита и рвота, отказ от корма, увеличение потребления воды."
отит,"Собака, 5 лет, постоянно трет ухо о пол и вздрагивает при прикосновении к голове. Из уха слышен гул, как будто там что-то бурлит. Пахнет гнилью, как тухлая рыба.","симптомы: постоянное трение уха о пол, вздрагивание при прикосновении к голове, гул в ухе, запах тухлой рыбы"
отит,"У птицы воспаление уха: гнойные выделения из ушного прохода, зуд и дискомфорт, наклон головы на больную сторону, потеря равновесия.","Симптомы: гнойные выделения из уха, зуд и дискомфорт, наклон головы на больную сторону, потеря равновесия."
отит,"Жвачное животное поносит, отказывается от корма. При осмотре выпячена левая голодная ямка, стенка рубца упругая и быстро выравнивается при пальпации. Перкуссия дает тимпанический звук, движения рубца ослаблены. Животное испытывает одышку и учащенный сердечный ритм.","симптомы:понос,отказ от корма,выпячивание левой голодной ямки,управляемость стенки рубца,ослабленные движения рубца,одышка,учащенный сердечный ритм"
отит,"Кошка постоянно трет одной лапой ухо и трясет головой, из уха пахнет гноем и вытекает жидкость. При осмотре ветеринар обнаруживает покраснение и отек слухового прохода, а также наличие серозного экссудата в среднем ухе. Кошка избегает контакта с хозяевами и не реагирует на привычные звуки из-за сильной боли.","Симптомы: боль в ухе, гнойные выделения из уха, зуд и дискомфорт"
отит,"У коровы наблюдается вздутие левой стороны брюшной полости. При прощупывании рубец твердый и быстро возвращается в исходное состояние. При простукивании слышен тимпанический звук, движения рубца ослаблены. Животное испытывает одышку, учащенное сердцебиение и возможны колики. Температура тела в норме.","симптомы:вздутие левой стороны брюшной полости,твердый рубец с быстрым возвращением в исходное состояние при прощупывании,тимпанический звук при простукивании,ослабленные движения рубца,одышка,учащенное сердцебиение,возможные колики"
Дерматит,"Животное страдает от сильного зуда и покраснения кожи, особенно в области живота и паха. На коже видны гнойные корочки и язвочки, которые вызывают боль при пальпации. В некоторых местах наблюдается выпадение шерсти. Температура тела повышена, аппетит снижен. Животное становится вялым и апатичным.","Симптомы: зуд кожи, покраснение кожи, гнойные корочки на коже, язвочки на коже, боль при пальпации, выпадение шерсти, повышенная температура тела, сниженный аппетит, вялость и апатия."
Дерматит,"У коровы Observe появились покраснение и отечность на кожном покрове в районе живота и груди. В этих местах наблюдаются участки облысения, а также образование гнойничков и язв. Животное проявляет беспокойство и часто расчесывает пораженные участки, что приводит к дальнейшему распространению воспаления и зуду. При пальпации этих областей корова реагирует на боль и дискомфорт. Температура тела животного в норме, но наблюдается снижение аппетита и общего состояния здоровья.","Симптомы: покраснение кожи, отечность, облысение, гнойнички и язвы на кожных покровах живота и груди, зуд, расчесывание пораженных участков, боль и дискомфорт при пальпации, снижение аппетита и общего состояния здоровья."
Дерматит,"У коровы появилась хромота на левой задней ноге. В области сухожилия сгибателя пальцев наблюдается горячая, болезненная припухлость. При пальпации животное вздрагивает. Температура тела повышена.","Симптомы: боль в районе сухожилия сгибателя пальцев левой задней ноги, локальная гипертермия и болезненность при пальпации, повышенная температура тела, реакция на боль (вздрагивание)."
Дерматит,"Корова в последнее время стала плохо есть и пить. Живот сильно вздут, при прослушивании определяется тимпанический звук. При пальпации животное реагирует на давление. Сердечная деятельность учащена, дыхание поверхностное. Слизистые оболочки бледные или цианотичные. За последние дни рацион коровы не менялся и она не выходила на пастбище.","Симптомы: плохой аппетит, увеличение объема живота (метеоризм), боль при пальпации живота, тахикардия, поверхностное дыхание, бледность или цианоз слизистых оболочек."
Дерматит,"Животное проявляет беспокойство и отказывается от еды. При осмотре отмечено вздутие левой стороны живота, стенка рубца упругая при пальпации и быстро выравнивается. При перкуссии слышен тимпанический звук, движения рубца ослаблены. Животное испытывает боль при надавливании на область рубца, но нет повышения температуры тела. Замечены проблемы с пищеварением и периодические колики.","Симптомы: вздутие левой стороны живота, беспокойство животного, отказ от еды, упругая стенка рубца при пальпации, тимпанический звук при перкуссии, ослабленные движения рубца, боль при надавливании на область рубца, проблемы с пищеварением и периодические колики."
Дерматит,"Кошка по кличке Маркиз два дня назад съела неизвестное растение во дворе. Сегодня у кошки появилось покраснение на коже вокруг рта и глаз, а также на животе и лапах. В течение часа после еды у кошки началась рвота, запор, затем диарея. Маркиз отказывается от еды и воды, вялый, температура тела 39,5°. К вечеру появились пузырьки на коже, Маркиз чешет лапами и языком, пытаясь расчесать места зуда.","Симптомы: покраснение кожи вокруг рта и глаз, на животе и лапах, рвота, запор с последующей диареей, отказ от еды и воды, вялость, температура тела 39,5°, зуд, расчесывание лапами и языком из-за пузырьков на коже."
Дерматит,"У кошки на животе и внутренних поверхностях бедер появились красные, воспаленные пятна. Кожа в этих местах шелушится и зудит, кошка часто облизывает эти участки и может иметь неприятный запах от кожи. В некоторых случаях могут наблюдаться мокнущие раны или корочки на коже.","Симптомы: красные воспаленные пятна на животе и внутренних поверхностях бедер, шелушение кожи, зуд, неприятный запах от кожи, возможны мокнущие раны или корочки на коже."
Дерматит,"Собака сильно чешется, особенно за ушами и на животе. Кожа красная и воспаленная, есть небольшие язвочки. Шерсть взъерошена и грязная. Животное часто лижет проблемные места, что приводит к еще большему раздражению кожи. У собаки может быть повышенная температура и вялость.","Симптомы: зуд, воспаление кожи, язвочки, взъерошенная шерсть, грязь на шерсти, частое лизание проблемных мест, возможно повышение температуры и вялость"
Дерматит,"Лошадь хромает на правую переднюю ногу, понижен аппетит, температура тела 39°С, наблюдается припухлость вдоль сухожилия в области скакательного сустава. При пальпации животное проявляет болезненность в этой области, имеются признаки воспаления суставной капсулы.","симптомы: хромота на правую переднюю ногу, пониженный аппетит, повышенная температура тела (39°С), припухлость вдоль сухожилия в области скакательного сустава, болезненность при пальпации, признаки воспаления суставной капсулы."
Дерматит,У кошки наблюдается воспаление кожи с покраснением и зудом. В местах расчесов виден экссудат и корки. Потеря аппетита и снижение активности. Температура тела в пределах нормы.,"Симптомы: воспаление кожи, покраснение, зуд, расчесы с экссудатом и корками, потеря аппетита, снижение активности"
